Consent,Role,Industry/Company,Company_Size,Sentiment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Overall,Behavior (Q1-Q6),Emotion (Q7-Q12),Decision (Q13-Q21)
TRUE,CFO,Financial Services,Small: 10 to 49 employees,0.44,1,1,0.7,0.9,0.7,0.6,0.8,0.7,0.8,0.8,0.9,1,0.9,0.8,0.8,0.8,1,0.7,0.7,0.8,0.8,0.77,0.82,0.83,0.83
TRUE,CFO,JUMBOTRON LTD,Small: 10 to 49 employees,0.37,0.9,0.8,0.6,0.9,0.8,0.9,0.7,0.8,0.8,0.6,0.9,0.8,0.6,0.8,0.7,0.8,0.8,0.6,0.9,0.7,0.9,0.73,0.82,0.77,0.76
TRUE,CTO,Advertising Agency,Large: 250 or more employees,0,0.7,0.9,0.8,0.7,0.4,0.6,1,0.8,0.6,0.6,0.6,0.9,0.8,0.8,1,0.9,0.6,0.6,0.4,0.7,0.6,0.62,0.68,0.75,0.73
TRUE,CTO,Optimum Advertising Ltd,Medium: 50 to 249 employees,0.19,0.6,0.9,1,0.4,0.9,0.3,0.7,-0.5,0.2,0.5,1,0.6,1,0.8,0.6,0.9,0.2,1,0.7,0.9,0.6,0.58,0.68,0.42,0.73
TRUE,Rather Not Say,Finance,Medium: 50 to 249 employees,0,0.7,0.9,0.8,0.7,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.6,0.6,0.7,0.5,0.57,0.73,0.67,0.60
TRUE,Other,Education,Large: 250 or more employees,0.52,0.6,0.7,0.6,0.6,1,0,0.6,0.5,0.5,0.6,0.6,0,0.5,0.5,0.5,0.5,1,0.9,0.6,0.6,0.5,0.56,0.58,0.47,0.56
TRUE,Director,Quantlase Laboratory,Small: 10 to 49 employees,0,0.4,0.4,0.5,0.3,0.7,0.6,0.9,0.4,1,1,0.7,0.3,0.5,0.3,1,0.7,0.5,1,0.4,1,0.7,0.55,0.48,0.72,0.64
TRUE,Legal,Education,Small: 10 to 49 employees,0.2,0.5,0.5,0.8,0.6,0.7,0.5,0.6,0.4,0.7,0.4,0.6,0.4,0.7,0.6,0.8,0.5,0.5,0.5,0.7,0.4,0.7,0.53,0.60,0.52,0.58
TRUE,CFO,Automotive,Small: 10 to 49 employees,0,0.7,0.6,0,0.9,0.4,0.5,0.8,0.8,0.7,0.6,0.8,0.4,0.6,0.8,0.4,0.7,0.5,0.8,0.4,0.5,0.7,0.53,0.52,0.68,0.58
TRUE,Social Media,Entertainment,Large: 250 or more employees,-0.1,0.8,0.5,0.8,0.5,0.8,0.3,0.6,0.8,0.4,0.8,0.8,0.4,0.6,0.7,0.9,0.6,0.8,0.5,0,0.6,0.7,0.53,0.62,0.63,0.58
